bacteriocin,target_strain,reported_lower,reported_upper,reported_unit,censoring,assay_group,doi,source_location,accession,database,family,import_pathway,sequence_sha256,domain_method,domain_signature,domain_coordinates,domain_length_aa,domain_charge_pH7,domain_gravy,domain_isoelectric_point,nterm40_charge_pH7,nterm40_gravy,length_aa,molecular_weight_da,isoelectric_point,charge_pH7,gravy,aromaticity,instability_index,helix_fraction,turn_fraction,sheet_fraction,idr_length_aa,idr_fraction,longest_idr_aa,nterm40_idr_fraction,target_genus,mic_nM_lower,mic_ug_ml_lower,log10_mic_ug_ml_lower,mic_nM_upper,mic_ug_ml_upper,log10_mic_ug_ml_upper,mic_ug_ml_midpoint,log10_mic_ug_ml_midpoint
KpneM,K. pneumoniae DSM16358,0.8,0.8,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,EWD35590.1,NCBI Protein,ColM-like,Ton,05132a559d94f76def8aa46c6b253bb479429fab6c4d433a40deb1755390648f,Gene3D,G3DSA:3.30.450.400,148-278,131,-2.890614649458506,-0.0969465648854962,5.4663423538208,-2.4078492012566493,0.032499999999999966,278,30287.744000000002,6.023932838439941,-4.631131902292648,-0.2183453237410072,0.1079136690647482,47.84820143884892,0.22661870503597123,0.34532374100719426,0.3669064748201439,18,0.0647482014388489,9,0.225,K,26.41332414854008,0.8,-0.09691001300805639,26.41332414854008,0.8,-0.09691001300805639,0.8,-0.09691001300805639
KpneM,K. variicola DSM15968,0.4,0.4,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,EWD35590.1,NCBI Protein,ColM-like,Ton,05132a559d94f76def8aa46c6b253bb479429fab6c4d433a40deb1755390648f,Gene3D,G3DSA:3.30.450.400,148-278,131,-2.890614649458506,-0.0969465648854962,5.4663423538208,-2.4078492012566493,0.032499999999999966,278,30287.744000000002,6.023932838439941,-4.631131902292648,-0.2183453237410072,0.1079136690647482,47.84820143884892,0.22661870503597123,0.34532374100719426,0.3669064748201439,18,0.0647482014388489,9,0.225,K,13.20666207427004,0.4,-0.3979400086720376,13.20666207427004,0.4,-0.3979400086720376,0.4,-0.3979400086720376
KpneM2,K. pneumoniae DSM16358,0.8,0.8,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,WP_047066220.1,NCBI Protein,ColM-like,Ton,3b92060eb0652790577a8e41b4e9dccf5a3521a9c80f5dbb955bfad07fd5c799,Gene3D,G3DSA:3.30.450.400,146-272,127,0.5551822704311302,-0.4299212598425197,7.9015192031860355,-2.496022390510237,0.305,272,29729.1697,8.37375011444092,1.7556887559861387,-0.3360294117647059,0.10661764705882353,34.050735294117665,0.23529411764705882,0.36764705882352944,0.375,13,0.0477941176470588,12,0.0,K,26.909597814970258,0.8,-0.09691001300805639,26.909597814970258,0.8,-0.09691001300805639,0.8,-0.09691001300805639
Pyocin L1,P. aeruginosa Br776,26.0,26.0,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,26.0,0.7387375319999999,-0.13150983582885267,26.0,0.7387375319999999,-0.13150983582885267,0.7387375319999999,-0.13150983582885267
Pyocin L1,P. aeruginosa Bu007,10.8,10.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,10.8,0.3068602056,-0.5130594283127209,10.8,0.3068602056,-0.5130594283127209,0.3068602056,-0.5130594283127209
Pyocin L1,P. aeruginosa LMG 1272,88.1,88.1,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,88.1,2.5031837141999995,0.3984927246123772,88.1,2.5031837141999995,0.3984927246123772,2.5031837141999995,0.3984927246123772
Pyocin L1,P. aeruginosa PA134,13.4,13.4,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,13.4,0.38073395879999994,-0.41937838543486305,13.4,0.38073395879999994,-0.41937838543486305,0.38073395879999994,-0.41937838543486305
Pyocin L1,P. aeruginosa PA135,30.0,30.0,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,30.0,0.8523894599999998,-0.06936192908000825,30.0,0.8523894599999998,-0.06936192908000825,0.8523894599999998,-0.06936192908000825
Pyocin L1,P. aeruginosa PA229,224.5,224.5,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,224.5,6.3787144589999984,0.8047331615396712,224.5,6.3787144589999984,0.8047331615396712,6.3787144589999984,0.8047331615396712
Pyocin L1,P. aeruginosa PAO1,38.3,38.3,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,38.3,1.0882172105999999,0.03671559016895209,38.3,1.0882172105999999,0.03671559016895209,1.0882172105999999,0.03671559016895209
Pyocin L2,P. aeruginosa CFPA13,13.8,13.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,13.8,0.39209858028000005,-0.40660473020088506,13.8,0.39209858028000005,-0.40660473020088506,0.39209858028000005,-0.40660473020088506
Pyocin L2,P. aeruginosa CFPA22,61.8,61.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,61.8,1.75591972908,0.24450465848669423,61.8,1.75591972908,0.24450465848669423,1.75591972908,0.24450465848669423
Pyocin L2,P. aeruginosa CFPA118,37.0,37.0,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,37.0,1.0512788022000001,0.021717907464873454,37.0,1.0512788022000001,0.021717907464873454,1.0512788022000001,0.021717907464873454
Pyocin L2,P. aeruginosa CFPA120,61.8,61.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,61.8,1.75591972908,0.24450465848669423,61.8,1.75591972908,0.24450465848669423,1.75591972908,0.24450465848669423
Pyocin L2,P. aeruginosa CFPA124,61.8,61.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,61.8,1.75591972908,0.24450465848669423,61.8,1.75591972908,0.24450465848669423,1.75591972908,0.24450465848669423
Pyocin L2,P. aeruginosa CPHL 6750,46.2,46.2,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,46.2,1.31267785572,0.11815815895400393,46.2,1.31267785572,0.11815815895400393,1.31267785572,0.11815815895400393
Pyocin L3,P. aeruginosa CFPA13,6.9,6.9,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,6.9,0.22017587982,-0.6572302595460832,6.9,0.22017587982,-0.6572302595460832,0.22017587982,-0.6572302595460832
Pyocin L3,P. aeruginosa CFPA22,77.8,77.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,77.8,2.48256281884,0.3949002467063505,77.8,2.48256281884,0.3949002467063505,2.48256281884,0.3949002467063505
Pyocin L3,P. aeruginosa CFPA54,19.4,19.4,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,19.4,0.61904522732,-0.2082776203531124,19.4,0.61904522732,-0.2082776203531124,0.61904522732,-0.2082776203531124
Pyocin L3,P. aeruginosa CFPA87,55.0,55.0,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,55.0,1.7550251289999999,0.24428333921090536,55.0,1.7550251289999999,0.24428333921090536,1.7550251289999999,0.24428333921090536
Pyocin L3,P. aeruginosa CFPA120,9.7,9.7,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,9.7,0.30952261366,-0.5093076160170936,9.7,0.30952261366,-0.5093076160170936,0.30952261366,-0.5093076160170936
Pyocin L3,P. aeruginosa CFPA124,13.8,13.8,nM,exact,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,13.8,0.44035175964,-0.3562002638821019,13.8,0.44035175964,-0.3562002638821019,0.44035175964,-0.3562002638821019
Pyocin L2,P. aeruginosa Bu007,3300.0,inf,nM,right,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,3300.0,93.76270398,1.9720301232757658,inf,inf,inf,,
Pyocin L1,P. aeruginosa CFPA22,3300.0,inf,nM,right,kinetic broth MIC,10.1002/mbo3.210,Table 2,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,3300.0,93.76284059999999,1.9720307560782169,inf,inf,inf,,
Pyocin L2,P. aeruginosa CFPA101,3300.0,inf,nM,right,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0,P,3300.0,93.76270398,1.9720301232757658,inf,inf,inf,,
Pyocin L3,P. aeruginosa CFPA101,3300.0,inf,nM,right,kinetic broth MIC,10.1002/mbo3.210,Table 2,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0,P,3300.0,105.30150773999999,2.022434589594549,inf,inf,inf,,
