bacteriocin,accession,database,family,import_pathway,sequence_sha256,domain_method,domain_signature,domain_coordinates,domain_length_aa,domain_charge_pH7,domain_gravy,domain_isoelectric_point,nterm40_charge_pH7,nterm40_gravy,length_aa,molecular_weight_da,isoelectric_point,charge_pH7,gravy,aromaticity,instability_index,helix_fraction,turn_fraction,sheet_fraction,idr_length_aa,idr_fraction,longest_idr_aa,nterm40_idr_fraction
Colicin E2,P04419,UniProtKB,nuclease,Tol,62729c48db3bf25b6594b476b849eaa687cf54988a4403a2f293cb1620b9e0b0,Pfam,PF21431,456-579,124,8.119713832032186,-1.308064516129032,9.695480918884279,-1.3230654139697933,-0.645,581,61628.493700000006,9.016757774353028,6.618935672225476,-0.7492254733218588,0.05163511187607573,36.57659208261618,0.29259896729776247,0.3924268502581756,0.24268502581755594,423,0.7280550774526678,119,1.0
Colicin E3,P00646,UniProtKB,nuclease,Tol,0298630076ff861dd7f95a799065bf60264dd410ff306b4a328770a6b7b89d1e,Pfam,PF09000,465-548,84,8.024555577999955,-1.5523809523809524,9.937495231628418,-1.3230654139697933,-0.645,551,57962.34309999999,9.04480152130127,6.606264902417458,-0.733393829401089,0.05263157894736842,36.79564428312158,0.2885662431941924,0.40653357531760437,0.24319419237749548,408,0.7404718693284936,179,1.0
Colicin E7,Q47112,UniProtKB,nuclease,Tol,b53aa75a455e9cfc48fc6fe9a3112e6a22a11b0f53a01dbc3c0bfbd1da240237,Pfam,PF21431,451-574,124,10.118918491304175,-1.243548387096774,9.947358894348145,-1.3230654139697933,-0.8975,576,61348.8829,9.694062614440917,20.69655429017923,-0.6822916666666666,0.05555555555555555,38.31718750000001,0.3125,0.3611111111111111,0.2604166666666667,366,0.6354166666666666,77,1.0
Pyocin S6,KYO98147.1,NCBI Protein,nuclease,unresolved,a10c4ca6ec431767f3f42cc559bfd1d03dbb22118b4529b4a3b0902997f3d5a7,Pfam,PF09000,491-570,80,7.032648101023602,-1.23125,10.066818809509275,-1.4041998623816827,0.10499999999999998,571,60932.3498,9.053440284729003,6.0965827409632,-0.3180385288966725,0.05604203152364273,42.75534150612966,0.3520140105078809,0.29947460595446584,0.318739054290718,165,0.2889667250437828,32,0.175
Colicin A,P04480,UniProtKB,pore-forming,Tol,92003a569e9d537826dc6a5a70ce8f61737583037876e0bd8d63756b9959afe1,Pfam,PF01024,392-585,194,-2.040840536075571,0.03659793814432989,5.772249794006346,-2.3151508293742284,-1.4200000000000002,592,62991.869699999996,7.783799934387207,1.212468150979177,-0.45692567567567566,0.04391891891891892,26.53125,0.3733108108108108,0.3158783783783784,0.26351351351351354,313,0.5287162162162162,88,1.0
Colicin B,P05819,UniProtKB,pore-forming,Ton,4beaf41c322442f500f89e4dff34eaaf05161fe604541404c59bfa61a57dab60,Pfam,PF01024,331-506,176,-3.519552330332875,0.11193181818181817,5.038515281677246,-4.49154934665086,-0.54,511,54862.3754,4.817070579528808,-17.15301547348352,-0.1776908023483366,0.06653620352250489,40.2731898238748,0.29549902152641877,0.36007827788649704,0.3405088062622309,136,0.2661448140900195,28,0.775
Colicin E1,P02978,UniProtKB,pore-forming,Tol,882a7a1b24629e4972e6cc8b85ad73aaf24b9e455c0ed0a9844316197489716d,Pfam,PF01024,344-518,175,2.9332938954100634,-0.12342857142857144,8.736449241638184,-2.498345812720072,-0.40750000000000003,522,57279.1637,9.306091880798338,14.18701774114082,-0.5948275862068966,0.05363984674329502,29.076072796934856,0.450191570881226,0.23180076628352492,0.289272030651341,254,0.4865900383141762,158,0.5
Colicin N,P08083,UniProtKB,pore-forming,Tol,73d5a81474789b0605c3be8de2afd67323413f0efa721aadf1e3f99d4034b61b,Pfam,PF01024,187-361,175,5.938447890596141,-0.025714285714285714,9.3782320022583,0.5876406358367745,-0.9974999999999999,387,41742.6271,9.617925453186036,16.12914620706954,-0.45813953488372094,0.07751937984496125,17.921705426356585,0.3023255813953488,0.39276485788113696,0.31007751937984496,111,0.2868217054263566,111,1.0
KaerA,WP_063414841.1,NCBI Protein,pore-forming,Ton,78d6b69108ae3a9c6bc046c220378fb751bbc23fb8d6bd58cc0a67ad62fcc1ec,Pfam,PF01024,196-353,158,5.84256947971809,0.16329113924050634,9.697028160095215,-2.4085399012910136,-0.5700000000000001,379,39364.9196,8.91070728302002,3.7824981384270515,-0.1812664907651715,0.06068601583113456,9.418469656992073,0.34036939313984166,0.35883905013192613,0.32189973614775724,104,0.2744063324538258,41,1.0
KpneA,SAV78255.1,NCBI Protein,pore-forming,Ton,55e3e5c60294e53ac7b45e9cca8e2bc0fe5698ae82adfb50e291b6afa35c395c,Pfam,PF01024,189-335,147,3.7711389789439913,-0.10476190476190476,9.331685829162598,-1.5069223816082478,-0.6224999999999999,377,39906.7625,8.972725868225101,5.582997356813024,-0.18222811671087533,0.07427055702917772,11.507692307692302,0.33421750663129973,0.35013262599469497,0.35278514588859416,19,0.0503978779840848,6,0.2
KvarIa,KDL88409.1,NCBI Protein,pore-forming,unresolved,c009e9164b05f4f1e58832d74f27ee7b6fd38d2948ec0286a8a32348156bcfc4,Pfam,PF01024,227-410,184,1.9396632923296302,0.046739130434782616,8.630785560607912,-0.4927001072907071,-1.6375,414,43432.472200000004,9.248715019226072,8.90323528795215,-0.45265700483091786,0.05555555555555555,22.264033816425112,0.46618357487922707,0.27294685990338163,0.25120772946859904,230,0.5555555555555556,230,1.0
Pyocin S5,WP_003115311.1,NCBI Protein,pore-forming,Ton,5cd49ede95bc123ed798bab6c490f51855048f208ab313114d00f1419b72e051,Pfam,PF01024,310-494,185,1.9133762927282483,-0.1318918918918919,8.689903068542481,-6.491539346750859,-0.1,498,56074.3386,8.495788764953613,2.767071795660897,-0.5136546184738956,0.07630522088353414,41.78435742971889,0.4176706827309237,0.22690763052208834,0.3313253012048193,58,0.1164658634538152,17,0.2
